,Alt MAC,B cell,Cl MAC,Cl Mo,DCs cell,Int Mo,Mast cell,Neutrophils,NK cell,Non-Cl Mo,Tc,Th,T other,Treg
D020,0.136231884057971,0.0217391304347826,0.0840579710144927,0.0434782608695652,0.00144927536231884,0.0188405797101449,0.0072463768115942,0.0782608695652174,0,0.0565217391304348,0.360869565217391,0.11304347826087,0.0318840579710145,0.0463768115942029
D021,0.0180120080053369,0.0607071380920614,0.0800533689126084,0.018679119412942,0.00133422281521014,0.0406937958639093,0.00066711140760507,0.0133422281521014,0.00266844563042028,0.0160106737825217,0.404936624416278,0.280853902601734,0.0340226817878586,0.0280186791194129
D022,0.0355329949238579,0.112944162436548,0.41243654822335,0.04251269035533,0,0.00634517766497462,0.00190355329949239,0.0291878172588832,0.0050761421319797,0.0114213197969543,0.106598984771574,0.20241116751269,0.032994923857868,0.000634517766497462
D023,0.0238095238095238,0.00732600732600733,0.14041514041514,0.0384615384615385,0,0.00976800976800977,0.000305250305250305,0.655982905982906,0.00213675213675214,0.00152625152625153,0.0750915750915751,0.0222832722832723,0.00976800976800977,0.0131257631257631
D024,0.0958036421219319,0.0794404856162576,0.128793877012404,0.0554235946159937,0.0166270783847981,0.0211137503299023,0.0158353127474268,0.0522565320665083,0.00290314067036157,0.0324623911322249,0.287938770124043,0.156241752441277,0.0137239377144365,0.0414357350224334
D025,0.103900060938452,0.0341255332114564,0.123400365630713,0.158135283363803,0.00792199878123096,0.0127970749542962,0.0127970749542962,0.0268129189518586,0.000609384521633151,0.00731261425959781,0.16819012797075,0.264777574649604,0.0137111517367459,0.0655088360755637
D026,0.153553299492386,0.00338409475465313,0.170473773265651,0.0511844331641286,0,0.0122673434856176,0.00465313028764805,0.0596446700507614,0.00253807106598985,0.0126903553299492,0.180203045685279,0.212774957698816,0.0245346869712352,0.112098138747885
D027,0.135178286322512,0.0936668440659925,0.0665247472059606,0.059073975518893,0.000532197977647685,0.077700904736562,0,0.0234167110164981,0.000532197977647685,0.0468334220329963,0.220329962746142,0.205428419372006,0.0111761575306014,0.0596061734965407
D028,0.0775510204081633,0.0142857142857143,0.208163265306122,0.00408163265306122,0.00204081632653061,0,0.0551020408163265,0.0877551020408163,0.0183673469387755,0.036734693877551,0.102040816326531,0.310204081632653,0.0204081632653061,0.063265306122449
D029,0.221983683984543,0.0395019321597252,0.0704164877629884,0.0695577501073422,0.012881064834693,0.0210390725633319,0.0120223271790468,0.0188922284242164,0.0034349506225848,0.0012881064834693,0.19106912838128,0.300987548303993,0.0090167453842851,0.0279089738085015
D030,0.00659630606860158,0.0191292875989446,0.408970976253298,0.0296833773087071,0,0.012532981530343,0.00659630606860158,0.0230870712401055,0.00131926121372032,0.0204485488126649,0.300791556728232,0.120052770448549,0.0230870712401055,0.0277044854881266
D031,0.0742407199100112,0.0131233595800525,0.138732658417698,0.0978627671541057,0.000374953130858643,0.0622422197225347,0.0134983127109111,0.0288713910761155,0.00224971878515186,0.0547431571053618,0.21259842519685,0.225721784776903,0.0228721409823772,0.0528683914510686
D032,0.073469387755102,0.00612244897959184,0.461224489795918,0.0489795918367347,0,0.00204081632653061,0.00204081632653061,0.063265306122449,0.00204081632653061,0.0244897959183673,0.063265306122449,0.179591836734694,0.0142857142857143,0.0591836734693878
D033,0.0190677966101695,0.0211864406779661,0.300847457627119,0.0127118644067797,0,0.00423728813559322,0.0360169491525424,0.0296610169491525,0.0127118644067797,0.0423728813559322,0.13771186440678,0.269067796610169,0.0275423728813559,0.086864406779661
D034,0.0883912787271656,0.0229817324690631,0.191514437242192,0.0824985268120212,0.000589275191514437,0.0100176782557454,0.0229817324690631,0.018856806128462,0.00235710076605775,0.0312315851502652,0.223924572775486,0.223924572775486,0.0206246317030053,0.0601060695344726
D035,0.0576794097920858,0.0167672702883971,0.22468142186452,0.0449362843729041,0.000670690811535882,0.00134138162307176,0.0274983232729712,0.0234741784037559,0.0107310529845741,0.0389000670690812,0.142186452045607,0.331321260898726,0.0181086519114688,0.0617035546613011
D036,0.106870229007634,0.0178117048346056,0.153762268266085,0.145401672119229,0.0054525627044711,0.0498000727008361,0.00363504180298073,0.0130861504907306,0.00254452926208651,0.00981461286804798,0.233369683751363,0.195565249000364,0.019992729916394,0.0428934932751727
D037,0.0791618160651921,0.0069848661233993,0.621653084982538,0.00465657741559953,0,0.00232828870779977,0.00814901047729918,0.0209545983701979,0.00349243306169965,0.0151338766006985,0.0873108265424913,0.10244470314319,0.0128055878928987,0.0349243306169965
