"","Alt MAC","B cell","Cancer","Cl MAC","Cl Mo","DCs cell","Endothelial cell","Int Mo","Mast cell","Neutrophils","NK cell","Non-Cl Mo","Tc","Th","T other","Treg"
"D001",99.0048512377106,32.0015680768358,1853.09080144927,255.012495612285,178.008722427399,1.00004900240112,518.025383243779,18.0008820432201,24.0011760576268,114.005586273727,2.00009800480224,67.0032831608749,292.014308701126,417.020434001266,33.0016170792369,112.005488268925
"D002",53.0025971272592,104.005096249716,1204.05899889095,434.021267042085,42.0020581008469,14.0006860336156,255.012495612285,6.00029401440671,36.0017640864402,34.001666081638,2.00009800480224,99.0048512377106,359.017591862001,362.017738869205,10.0004900240112,43.0021071032481
"D003",48.0023521152536,126.006174302541,1413.06924039278,347.017003833188,55.0026951320615,4.00019600960447,197.00965347302,3.00014700720335,14.0006860336156,162.007938388981,5.00024501200559,33.0016170792369,92.0045082209028,312.015288749149,14.0006860336156,64.0031361536715
"D004",84.0041162016939,158.007742379377,2066.10123896071,233.01141755946,182.008918437003,2.00009800480224,446.021855070898,11.0005390264123,2.00009800480224,19.0009310456212,2.00009800480224,33.0016170792369,523.025628255785,259.012691621889,90.0044102161006,42.0020581008469
"D005",183.008967439405,403.01974796765,1022.05008045394,299.014651717934,168.008232403388,7.00034301680782,717.035134721601,21.0010290504235,44.0021561056492,29.0014210696324,10.0004900240112,20.0009800480224,305.014945732341,462.022639109316,6.00029401440671,47.0023031128525
"D006",90.0044102161006,20.0009800480224,1887.09246753091,258.012642619488,68.003332163276,1.00004900240112,208.010192499432,5.00024501200559,7.00034301680782,92.0045082209028,2.00009800480224,15.0007350360168,69.0033811656771,111.005439266524,34.001666081638,11.0005390264123
"D007",413.020237991662,13.0006370312145,1203.05894988854,251.012299602681,483.02366815974,1.00004900240112,113.005537271326,36.0017640864402,1.00004900240112,163.007987391382,1.00004900240112,11.0005390264123,42.0020581008469,140.006860336156,32.0015680768358,29.0014210696324
"D008",149.007301357767,119.005831285733,1372.06723129433,215.01053551624,302.014798725137,1.00004900240112,331.01621979477,43.0021071032481,26.0012740624291,120.005880288134,6.00029401440671,10.0004900240112,387.018963929233,449.022002078102,91.0044592185017,52.0025481248581
"D009",122.005978292936,45.0022051080503,575.028176380643,421.02063001087,77.0037731848861,18.0008820432201,316.015484758753,68.003332163276,60.0029401440671,62.0030381488693,4.00019600960447,146.007154350563,464.022737114119,657.032194577534,33.0016170792369,112.005488268925
"D010",48.0023521152536,38.0018620912425,2522.12358405562,159.007791381778,46.0022541104514,2.00009800480224,349.01710183799,0,29.0014210696324,14.0006860336156,2.00009800480224,16.0007840384179,98.0048022353095,124.006076297739,12.0005880288134,27.0013230648302
