"","Alt MAC","B cell","Cancer","Cl MAC","Cl Mo","DCs cell","Endothelial cell","Int Mo","Mast cell","Neutrophils","NK cell","Non-Cl Mo","Tc","Th","T other","Treg"
"D026",0.0822569680489463,0.00181282574212554,0.379560389757535,0.091321096759574,0.0274189893496488,0,0.0847496034443689,0.00657149331520508,0.00249263539542262,0.0319510537049626,0.00135961930659415,0.00679809653297077,0.0965329707681849,0.113981418536143,0.0131429866304102,0.0600498527079085
"D027",0.0633100697906281,0.0438683948155533,0.478564307078764,0.0311565304087737,0.027666999002991,0.000249252243270189,0.0530907278165504,0.0363908275174477,0,0.0109670987038883,0.000249252243270189,0.0219341974077767,0.103190428713858,0.0962113659022931,0.00523429710867398,0.0279162512462612
"D028",0.00724361418223408,0.00133434998093786,0.857033930613801,0.0194433854365231,0.000381242851696531,0.000190621425848265,0.049561570720549,0,0.00514677849790316,0.00819672131147541,0.00171559283263439,0.00343118566526878,0.00953107129241327,0.0289744567289363,0.00190621425848265,0.00590926420129623
"D029",0.121361502347418,0.0215962441314554,0.38169014084507,0.0384976525821596,0.0380281690140845,0.00704225352112676,0.0715962441314554,0.0115023474178404,0.00657276995305164,0.0103286384976526,0.00187793427230047,0.000704225352112676,0.104460093896714,0.164553990610329,0.00492957746478873,0.0152582159624413
"D030",0.00255885363357216,0.00742067553735926,0.496673490276356,0.158648925281474,0.0115148413510747,0,0.115404298874104,0.0048618219037871,0.00255885363357216,0.00895598771750256,0.000511770726714432,0.00793244626407369,0.11668372569089,0.0465711361310133,0.00895598771750256,0.0107471852610031
"D031",0.0564263322884013,0.00997435166714164,0.153320034197777,0.105443146195497,0.0743801652892562,0.000284981476204047,0.0866343687660302,0.0473069250498718,0.0102593331433457,0.0219435736677116,0.00170988885722428,0.0416072955257908,0.161584497007695,0.171558848674836,0.0173838700484468,0.0401823881447706
"D032",0.00724054706355591,0.000603378921962993,0.862429605792438,0.0454545454545455,0.00482703137570394,0,0.0390185036202735,0.000201126307320998,0.000201126307320998,0.00623491552695093,0.000201126307320998,0.00241351568785197,0.00623491552695093,0.0176991150442478,0.00140788415124698,0.00583266291230893
"D033",0.0018560527943906,0.00206228088265622,0.821406475561972,0.0292843885337183,0.00123736852959373,0,0.081253866776655,0.000412456176531244,0.00350587750051557,0.0028871932357187,0.00123736852959373,0.00412456176531244,0.0134048257372654,0.026190967209734,0.00268096514745308,0.00845535161889049
"D034",0.029199922133541,0.00759197975472065,0.589838427097528,0.0632664979560054,0.0272532606579716,0.00019466614755694,0.0798131204983453,0.00330932450846798,0.00759197975472065,0.00622931672182208,0.000778664590227759,0.0103173058205178,0.0739731360716371,0.0739731360716371,0.00681331516449289,0.0198559470508079
"D035",0.0263319044703001,0.00765462339252909,0.461726883037355,0.10257195345989,0.020514390691978,0.000306184935701164,0.0817513778322107,0.000612369871402327,0.0125535823637477,0.0107164727495407,0.00489895897121862,0.0177587262706675,0.0649112063686467,0.151255358236375,0.00826699326393142,0.028169014084507
"D036",0.0827004219409283,0.0137834036568214,0.164556962025316,0.118987341772152,0.112517580872011,0.00421940928270042,0.0616033755274262,0.0385372714486639,0.00281293952180028,0.010126582278481,0.0019690576652602,0.00759493670886076,0.180590717299578,0.151336146272855,0.0154711673699015,0.0331926863572433
"D037",0.0207253886010363,0.00182871075891497,0.683328253581225,0.162755257543432,0.00121914050594331,0,0.0548613227674489,0.000609570252971655,0.00213349588540079,0.00548613227674489,0.000914355379457483,0.00396220664431576,0.0228588844864371,0.0268210911307528,0.0033526363913441,0.00914355379457482
"D038",0.0184619655746807,0.272626318711827,0.234453081621322,0.0785674625208218,0.0372015546918379,0.000277623542476402,0.0913381454747363,0.000832870627429206,0.00347029428095502,0.0119378123264853,0.00222098833981122,0.00152692948362021,0.116601887840089,0.0934203220433093,0.00235980011104942,0.0347029428095502
"D039",0.0187369882026371,0.00508905852417303,0.619939856581078,0.0990053203793662,0.017117742308582,0.000231320842007865,0.0964607911172797,0.000693962526023595,0.0129539671524404,0.0106407587323618,0.00254452926208651,0.0039324543141337,0.0194309507286607,0.0846634281748786,0.00508905852417303,0.00346981263011797
"D040",0.0135016657899351,0.0554094336314221,0.470980185867088,0.0692617920392776,0.0266526389619499,0.00105207785376118,0.126950727687182,0.0047343503419253,0.00192880939856216,0.0389268805891636,0.000350692617920393,0.00613712081360687,0.112923022970366,0.0534806242328599,0.00841662283008943,0.00929335437489041
"D041",0.0392531296414174,0.0447697856991301,0.519414385741566,0.0502864417568428,0.036494801612561,0.000212179079142797,0.0710799915128368,0.0157012518565669,0.00233396987057076,0.0188839380437089,0.00848716316571186,0.00318268618714195,0.0922978994271165,0.0628050074262678,0.0150647146191386,0.0197326543602801
"D042",0.0902594960511471,0.00526513726965024,0.590071455434374,0.0530274539300489,0.0169236555095901,0.00827378713802181,0.126363294471606,0.000376081233546446,0.0157954118089507,0.0180518992102294,0.00413689356901091,0.00451297480255735,0.0383602858217375,0.0214366303121474,0.00601729973674314,0.00112824370063934
"D043",0.00343642611683849,0.00343642611683849,0.671019473081329,0.0744558991981672,0.0100801832760596,0,0.0460481099656357,0.00274914089347079,0.00183276059564719,0.0510882016036655,0.000458190148911798,0.00939289805269187,0.0742268041237113,0.0366552119129439,0.00320733104238259,0.0119129438717068
"D044",0.0212083847102343,0.0626387176325524,0.385450061652281,0.314919852034525,0.0337854500616523,0.000739827373612824,0.0429099876695438,0.0032059186189889,0.000246609124537608,0.00912453760789149,0.00394574599260173,0.00197287299630086,0.0278668310727497,0.067324290998767,0.00123304562268804,0.0234278668310728
"D045",0.00662778366914104,0.00291622481442206,0.681601272534464,0.127253446447508,0.00397667020148462,0,0.0760869565217391,0.000530222693531283,0.00291622481442206,0.00159066808059385,0.000265111346765642,0.00397667020148462,0.0440084835630965,0.0310180275715801,0.00715800636267232,0.0100742311770944
"D046",0.104768300873069,0.0165659279158272,0.138571748376987,0.126930826057757,0.0268636668905306,0.00179091112603537,0.0555182449070965,0.00559659726886053,0.00291023057980748,0.0523841504365346,0.000447727781508843,0.0235057085292142,0.0868591896127155,0.117304678755317,0.221625251846877,0.0183568390418625
"D047",0.102149239314175,0.0229413185220961,0.361748369958947,0.050229413185221,0.0400869355228206,0.00289785076068582,0.0473315624245351,0.0132818159864767,0.00217338807051437,0.0470900748611447,0.000965950253561942,0.0202849553248008,0.16421154310553,0.065684617242212,0.0125573532963052,0.0463656121709732
"D048",0.0370168753402286,0.120577027762657,0.238432226456179,0.0577027762656505,0.0683179096352749,0.000272182906913446,0.138541099618944,0.0168753402286336,0.0119760479041916,0.0492651061513337,0.000816548720740337,0.0185084376701143,0.0457267283614589,0.156777354382145,0.00734893848666304,0.0318454001088732
"D049",0.0217864923747277,0.0059134765017118,0.691254279489574,0.0899470899470899,0.00778089013383131,0.000311235605353252,0.067849361967009,0.00497976968565204,0.000933706816059757,0.0065359477124183,0.000311235605353252,0.00995953937130408,0.0339246809835045,0.0398381574852163,0.00186741363211951,0.0168067226890756
"D050",0.0743967828418231,0.0768543342269884,0.291554959785523,0.0672475424486148,0.0674709562109026,0.00402144772117962,0.15437890974084,0.00871313672922252,0.00603217158176944,0.0913762287756926,0.000670241286863271,0.00134048257372654,0.0683646112600536,0.0585344057193923,0.0100536193029491,0.0189901697944593
"D051",0.00969162995594714,0.00205580029368576,0.65697503671072,0.121879588839941,0.00440528634361234,0.000293685756240822,0.0170337738619677,0.00146842878120411,0.000293685756240822,0.0666666666666667,0.00411160058737151,0.00734214390602056,0.076064610866373,0.0199706314243759,0.00822320117474303,0.00352422907488987
"D052",0.0025490695895998,0.0025490695895998,0.690797858781545,0.087178179964313,0.0231965332653581,0,0.136630130002549,0.00280397654855978,0.00229416263063982,0.00407851134335967,0.00025490695895998,0.00331379046647974,0.0180983940861586,0.012235534030079,0.00382360438439969,0.0101962783583992
"D053",0.0104202848211184,0.128690517540813,0.362973254602292,0.120875303924974,0.00521014241055922,0.000868357068426537,0.0340395970823203,0.000173671413685307,0.000868357068426537,0.00642584230635637,0.000521014241055922,0.000521014241055922,0.122785689475512,0.173497742271622,0.00677318513372699,0.0253560263980549
"D054",0.0125274725274725,0.00879120879120879,0.309230769230769,0.171428571428571,0.0626373626373626,0.000879120879120879,0.0468131868131868,0.0404395604395604,0.0010989010989011,0.00967032967032967,0.00021978021978022,0.0142857142857143,0.161098901098901,0.123956043956044,0.0182417582417582,0.0186813186813187
"D055",0.0311093719428683,0.106437096458619,0.454509880649579,0.0586969281940912,0.0140872627665819,0.00195656427313637,0.0291528076697319,0.00626100567403639,0.00606534924672275,0.0109567599295637,0,0.0158481706124046,0.111132850714146,0.127176677753864,0.0140872627665819,0.0125220113480728
"D056",0.023454157782516,0.0867093105899076,0.52831082681829,0.072257758824923,0.0182421227197347,0,0.072257758824923,0.00592276711679697,0.00284292821606254,0.0142146410803127,0.00473821369343757,0.00639658848614072,0.060649135276001,0.0769959725183606,0.00876569533285951,0.0182421227197347
"D057",0.0268553277505053,0.00259890268553278,0.455385503898354,0.222061796130523,0.0389835402829916,0.000288766965059197,0.045336413514294,0.00144383482529599,0.00144383482529599,0.104533641351429,0.00548657233612475,0.00144383482529599,0.00664164019636154,0.0721917412647993,0.0115506786023679,0.00375397054576956
"D058",0.048305310915399,0.00720576461168935,0.172137710168135,0.218307979717107,0.00827328529490259,0,0.0523085134774486,0.0058713637576728,0.00106752068321324,0.2983720309581,0.00240192153722978,0.00747264478249266,0.0464371497197758,0.0491059514278089,0.059514278089138,0.0232185748598879
"D059",0.00432569974554707,0.0165394402035623,0.444529262086514,0.12824427480916,0.00356234096692112,0,0.0699745547073791,0.00763358778625954,0.00101781170483461,0.00330788804071247,0.00203562340966921,0.151399491094148,0.0407124681933842,0.0870229007633588,0.0132315521628499,0.0264631043256997
"D060",0.0181473456121343,0.0381906825568797,0.604008667388949,0.102925243770314,0.0124593716143012,0.00189599133261105,0.0706933911159263,0.00216684723726977,0.0197724810400867,0.0075839653304442,0.000270855904658722,0.00893824485373781,0.0457746478873239,0.0430660888407367,0.0138136511375948,0.0102925243770314
"D061",0.0150610969025291,0.00596760443307758,0.625177607274794,0.103722648479682,0.00454674623472577,0,0.134697357203751,0.00227337311736289,0.00113668655868144,0.0179028132992327,0.000568343279340722,0.0107985223074737,0.0213128729752771,0.0457516339869281,0.00397840295538505,0.00710429099175902
"D062",0.0455195424213537,0.0662535748331745,0.323879885605338,0.0440896091515729,0.0324118207816969,0.000476644423260248,0.0986653956148713,0.00929456625357483,0.00428979980934223,0.0102478551000953,0.00238322211630124,0.0142993326978074,0.150857959961868,0.171591992373689,0.00834127740705434,0.017397521448999
"D063",0.0254932387497229,0.109731766792286,0.496563954777211,0.0642872977166925,0.0108623365107515,0.00266016404344935,0.0339170915539792,0.000665041010862337,0.00243848370649523,0.0128574595433385,0.00421192640212813,0.00953225448902682,0.0724894701839947,0.111948570161827,0.00709377078253159,0.0352471735757038
"D064",0.0776365510133975,0.0020611473720371,0.54002061147372,0.264170388182755,0.0147715561662659,0.000687049124012367,0.0302301614565441,0.00309172105805565,0,0.0171762281003092,0.00171762281003092,0.00755754036413604,0.0240467193404328,0.0106492614221917,0.00343524562006183,0.00274819649604947
"D065",0.0325710325710326,0.0311850311850312,0.287595287595288,0.212751212751213,0.0207900207900208,0,0.0769230769230769,0.000693000693000693,0.00207900207900208,0.110880110880111,0.000693000693000693,0.00762300762300762,0.125433125433125,0.0568260568260568,0.0194040194040194,0.0145530145530146
"D066",0.0261627906976744,0.0564437984496124,0.482073643410853,0.0893895348837209,0.00290697674418605,0.00169573643410853,0.094234496124031,0.000242248062015504,0.0230135658914729,0.00363372093023256,0.00169573643410853,0.0116279069767442,0.131298449612403,0.0540213178294574,0.0138081395348837,0.00775193798449612
"D067",0.00889265297480415,0.123226762650858,0.41393182299386,0.0465805632013551,0.0298539064154139,0,0.0933728562354436,0.000846919330933729,0.0118568706330722,0.00486978615286894,0.000846919330933729,0.00486978615286894,0.0417107770484861,0.177006140165149,0.0207495236078763,0.0213847131060766
"D068",0.012624584717608,0,0.667109634551495,0.0388704318936877,0.00332225913621262,0,0.2,0,0.00930232558139535,0.00299003322259136,0.00132890365448505,0.0136212624584718,0.00564784053156146,0.0385382059800664,0.00465116279069767,0.00199335548172757
"D069",0.00535019455252918,0,0.612354085603113,0.155155642023346,0.0136186770428016,0,0.0554474708171206,0.00243190661478599,0.000486381322957198,0.00340466926070039,0,0.0102140077821012,0.0214007782101167,0.0583657587548638,0.0559338521400778,0.00583657587548638
"D070",0.0191840699368626,0.000242836328314716,0.601748421563866,0.0764934434191355,0.0014570179698883,0,0.0284118504128218,0.000971345313258863,0.000485672656629432,0.0951918406993686,0,0.00291403593977659,0.000971345313258863,0.0412821758135017,0.130403108305002,0.000242836328314716
"D071",0.0776179324188692,0.00100368016058883,0.294078287052526,0.0903312144529943,0.0823017731682837,0.00167280026764804,0.0297758447641352,0.00802944128471061,0.00802944128471061,0.0331214452994312,0.00100368016058883,0.0123787219805955,0.0444964871194379,0.163265306122449,0.141184342589495,0.0117096018735363
"D072",0.0200054809536859,0.0339819128528364,0.582899424499863,0.184708139216224,0.0106878596875856,0.000274047684297068,0.0654973965469992,0.00274047684297068,0.00137023842148534,0.0128802411619622,0.00219238147437654,0.00356261989586188,0.0287750068511921,0.0432995341189367,0.00602904905453549,0.00109619073718827
